id,title,incident_on,min_lon,min_lat,max_lon,max_lat
82996,"Landslide at Lamidanda, Lisangkhu Pakhar Rural Municipality-6",04-10-2025,85.86590143,27.70772862,85.89576946,27.74393847
82998,"Landslide at Gajuli, Sunkoshi Rural Municipality-1",04-10-2025,85.78286785,27.40983434,85.84270754,27.45103079
83020,Landslide at Deumai Municipality-5,04-10-2025,87.76756887,26.88770516,87.82806542,26.94715195
83021,"Landslide at Patigau, Mangsebung Rural Municipality-1",04-10-2025,87.69413302,26.88375876,87.77975105,26.92669844
83022,Landslide at Fakphokthum Rural Municipality-1,04-10-2025,87.70473307,26.97061477,87.7779888,27.02138616
83023,Landslide at Illam Municipality-6,04-10-2025,87.90596294,26.91205797,87.94066714,26.93838245
83024,Landslide at Illam Municipality-5,04-10-2025,87.90084332,26.92473459,87.94969505,26.97480019
83025,"Landslide at Manebhanjyang, Suryodaya Municipality-1",04-10-2025,88.0497755,26.92457325,88.12391343,27.00821485
83032,Landslide at Deumai Municipality-3,04-10-2025,87.82488262,26.91576315,87.89436532,26.98347961
83048,Landslide at Maijogmai Rural Municipality-6,04-10-2025,87.9613078,26.96559097,88.02569685,27.01194158
83050,Landslide at Maijogmai Rural Municipality-3,04-10-2025,87.98217672,26.90586601,88.04030728,26.94830112
83054,Landslide at Sandakpur Rural Municipality-1,04-10-2025,87.86031489,26.98800323,87.93344729,27.09449115
83086,Landslide at Dhulikhel Municipality-9,04-10-2025,85.55227435,27.5919697,85.61296074,27.61633409
83091,Landslide at Dhulikhel Municipality-11,04-10-2025,85.56782362,27.58360326,85.6277279,27.62254815
83096,Landslide at Kageshwori Manahora Municipality-9,04-10-2025,85.36459131,27.68919261,85.38676172,27.70706524
83111,Landslide at Illam Municipality-10,04-10-2025,87.91157715,26.85861224,88.01131674,26.89764543
83118,"Landslide at Laxmibote, Suryodaya Municipality-3",04-10-2025,88.06507783,26.90566773,88.11898704,26.96120681
83120,Landslide at Maijogmai Rural Municipality-6,04-10-2025,87.9613078,26.96559097,88.02569685,27.01194158
83127,"Landslide at damaiti, Triyuga Municipality-5",04-10-2025,86.55313565,26.69615818,86.65619259,26.80173448
83135,"Landslide at Jaubari, Falgunanda Rural Municipality-5",04-10-2025,87.69259458,26.99231368,87.74103939,27.05746931
83136,"Landslide at Solumba, Miklajung Rural Municipality-3",04-10-2025,87.58918506,26.90200375,87.67572028,26.95767153
83137,"Landslide at Alubari, Falgunanda Rural Municipality-1",04-10-2025,87.68161649,27.04780952,87.75920125,27.10474238
83652,Landslide at Mai Municipality-2,04-10-2025,87.86652485,26.68463768,87.94192221,26.76290344
82957,"Landslide at Gatlang , Aamachhodingmo Rural Municipality-5",02-10-2025,85.21011397,28.17409523,85.35093593,28.30247684
82937,"Landslide at Kandabagar, Bhume Rural Municipality-4",01-10-2025,82.62759979,28.5773007,82.70645056,28.62840072
82906,"Landslide at Kandabagar , Bhume Rural Municipality-4",30-09-2025,82.62759979,28.5773007,82.70645056,28.62840072
82916,"Landslide at Beni Darwang Road Section , Beni Municipality-4",29-09-2025,83.47948793,28.34059053,83.53461456,28.38051236
82884,Landslide at Sunkoshi Rural Municipality-7,28-09-2025,85.80271055,27.72948456,85.87059466,27.75645369
82885,Landslide at Birendranagar Municipality-13,28-09-2025,81.63906375,28.57162634,81.67924344,28.6789072
82895,Landslide at Purbichauki Rural Municipality-2,28-09-2025,80.99981989,29.29194629,81.06682988,29.3429837
82841,Landslide at Chaurjahari Municipality-9,27-09-2025,82.2202487,28.65706327,82.25824791,28.68347435
82824,Landslide at Benighat Rorang Rural Municipality-10,26-09-2025,84.61831846,27.75116753,84.69701866,27.82530765
82822,Landslide at Tulsipur Submetropolitan City-18,25-09-2025,82.30866447,28.07947904,82.38994599,28.1209852
82823,Landslide at Rolpa Municipality-10,25-09-2025,82.63861451,28.31188035,82.71498855,28.43185747
82766,"Landslide at Jalbire , Balefi Rural Municipality-1",24-09-2025,85.7672745,27.80895186,85.80181719,27.83957585
82768,Landslide at Benighat Rorang Rural Municipality-10,24-09-2025,84.61831846,27.75116753,84.69701866,27.82530765
